num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorológico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga
2023S019165;10/05/2023;15:05:00;AVDA. LUIS ARAGONES, 10;10;20;SAN BLAS-CANILLEJAS;Alcance;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448862.559;4477019.011;N;NULL
2023S019166;10/05/2023;14:50:00;CALL. SAN FAUSTINO / CALL. DISCOBOLO;30;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Motocicleta > 125cc;Conductor;De 55 a 59 años;Hombre;7;Asistencia sanitaria sólo en el lugar del accidente;448360.533;4477294.927;N;NULL
2023S019166;10/05/2023;14:50:00;CALL. SAN FAUSTINO / CALL. DISCOBOLO;30;20;SAN BLAS-CANILLEJAS;Colisión fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 años;Hombre;14;Sin asistencia sanitaria;448360.533;4477294.927;N;NULL
2023S019167;10/05/2023;14:35:00;CALL. SAGASTA / MEJIA LEQU;16;1;CENTRO;Caída;Despejado;Motocicleta > 125cc;Conductor;De 60 a 64 años;Hombre;2;Ingreso inferior o igual a 24 horas;440698.358;4475526.336;N;NULL
2023S019168;10/05/2023;16:06:00;CALL. SANTA FLORENCIA, 27;27;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Camión rígido;Conductor;Desconocido;Desconocido;NULL;NULL;441297.576;4466588.425;N;NULL
2023S019168;10/05/2023;16:06:00;CALL. SANTA FLORENCIA, 27;27;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Motocicleta > 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;441297.576;4466588.425;N;NULL
2023S019168;10/05/2023;16:06:00;CALL. SANTA FLORENCIA, 27;27;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Motocicleta hasta 125cc;Conductor;Desconocido;Desconocido;NULL;NULL;441297.576;4466588.425;N;NULL
2023S019168;10/05/2023;16:06:00;CALL. SANTA FLORENCIA, 27;27;17;VILLAVERDE;Choque contra obstáculo fijo;NULL;Turismo;Conductor;Desconocido;Desconocido;NULL;NULL;441297.576;4466588.425;N;NULL
2023S019170;10/05/2023;15:45:00;AUTOV. M-30, CALZADA EXTERIOR PK 19.500;19XC50;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Hombre;14;Sin asistencia sanitaria;437973.305;4475173.938;N;NULL
2023S019170;10/05/2023;15:45:00;AUTOV. M-30, CALZADA EXTERIOR PK 19.500;19XC50;9;MONCLOA-ARAVACA;Alcance;Despejado;Turismo;Conductor;De 30 a 34 años;Mujer;14;Sin asistencia sanitaria;437973.305;4475173.938;N;NULL
